,countries,cases,todays,deaths,recovered,active
118,Rwanda,"4,479",,22,"2,352","2,105"
119,Suriname,"4,477",,93,"3,706",678
120,Uganda,"4,377",+86,49,"1,998","2,330"
121,Jamaica,"3,511",+74,40,"1,019","2,452"
122,Slovenia,"3,497",+108,135,"2,662",700
123,Thailand,"3,461",+7,58,"3,312",91
124,Syria,"3,416",,147,797,"2,472"
125,Mayotte,"3,374",,40,"2,964",370
126,Somalia,"3,371",,97,"2,738",536
127,Gambia,"3,362",+32,100,"1,582","1,680"
128,Lithuania,"3,243",+44,86,"2,049","1,108"
129,Angola,"3,217",,130,"1,277","1,810"
130,Sri Lanka,"3,155",,12,"2,955",188
131,Mali,"2,909",,128,"2,269",512
132,Aruba,"2,819",,16,"1,407","1,396"
133,Jordan,"2,739",,20,"1,981",738
134,Bahamas,"2,721",,63,"1,183","1,475"
135,Trinidad and Tobago,"2,698",,43,755,"1,900"
136,Estonia,"2,632",+32,64,"2,233",335
137,South Sudan,"2,555",,49,"1,290","1,216"
138,Réunion,"2,510",,14,"1,313","1,183"
139,Guadeloupe,"2,287",,23,336,"1,928"
140,Guinea-Bissau,"2,275",,39,"1,127","1,109"
141,Myanmar,"2,265",+115,14,625,"1,626"
142,Botswana,"2,252",,10,546,"1,696"
143,Malta,"2,247",+43,15,"1,833",399
144,Benin,"2,242",,40,"1,793",409
145,Iceland,"2,161",+4,10,"2,079",72
146,Sierra Leone,"2,069",,72,"1,622",375
147,Yemen,"2,003",,580,"1,211",212
148,Georgia,"1,917",+87,19,"1,354",544
149,New Zealand,"1,793",+1,24,"1,655",114
150,Uruguay,"1,759",,45,"1,484",230
151,Guyana,"1,750",,49,"1,088",613
152,Togo,"1,537",,37,"1,145",355
153,Cyprus,"1,517",,22,"1,237",258
154,Burkina Faso,"1,486",,56,"1,123",307
155,Latvia,"1,459",+11,35,"1,248",176
156,Belize,"1,399",+34,19,360,"1,020"
157,Liberia,"1,315",,82,"1,194",39
158,Andorra,"1,301",,53,938,310
159,Niger,"1,178",,69,"1,099",10
160,Lesotho,"1,164",,31,528,605
161,Vietnam,"1,060",+1,35,902,123
162,Chad,"1,051",,79,932,40
163,Martinique,939,,18,98,823
164,Sao Tome and Principe,901,,15,866,20
165,French Polynesia,857,,,576,281
166,San Marino,722,,42,662,18
167,Diamond Princess,712,,13,651,48
168,Turks and Caicos,638,+10,5,270,363
169,Channel Islands,631,,48,575,8
170,Sint Maarten,530,,19,333,178
171,Tanzania,509,,21,183,305
172,Papua New Guinea,507,,5,232,270
173,Taiwan,498,+2,7,475,16
174,Burundi,469,,1,374,94
175,Comoros,456,,7,415,34
176,Faeroe Islands,415,,,410,5
177,Mauritius,361,,10,335,16
178,Eritrea,361,,,304,57
179,Isle of Man,337,,24,312,1
180,Gibraltar,323,,,289,34
181,Mongolia,311,+1,,298,13
182,Cambodia,274,,,274,0
183,Saint Martin,256,,6,107,143
